flattened_destination,inbound_rules,example_sources,target
/marketer-hub/docs/branch-ios-14-product-details-general-faq,3,/account-hub/docs/ios-14-faqs | /docs/branch-ios-14-product-details-general-faq | /v1/docs/branch-ios-14-product-details-general-faq,
/marketer-hub/docs/ios-14-faqs,3,/using-branch/docs/impact-of-ios-14-on-branch-ad-partners | /using-branch/docs/impact-of-ios-14-on-branch-channels | /using-branch/docs/impact-of-ios-14-on-branch-data-integrations,
/account-hub/docs/apple-ads-skan-support,3,/docs/apple-ads-skan-support | /using-branch/docs/apple-ads-skan-support | /v1/docs/apple-ads-skan-support,
/docs/introducing-cross-events-exports-api,3,/docs/cross-events-exports-api | /using-branch/docs/cross-events-exports-api | /v1/docs/cross-events-exports-api,
/docs/fixed-apple-search-ads-cost-display-1,3,/docs/fixed-apple-search-ads-cost-display | /using-branch/docs/fixed-apple-search-ads-cost-display | /v1/docs/fixed-apple-search-ads-cost-display,
/marketer-hub/docs/movable-ink-in-app-messages,3,/docs/movable-ink-in-app-messages | /using-branch/docs/movable-ink-in-app-messages | /v1/docs/movable-ink-in-app-messages,
/marketer-hub/docs/facebook-faq-and-advanced-options,3,/docs/facebook-faq-and-advanced-options | /using-branch/docs/facebook-faq-and-advanced-options | /v1/docs/facebook-faq-and-advanced-options,
/developer-hub/docs/advanced-data-feeds,3,/developer-hub/docs/advanced-data-feeds  [LIVE: in sitemap] | /developer-hub/docs/data-feeds | /developer-hub/docs/data-integrations,
/account-hub/docs/meta-aem-view-through-attribution-in-branch,2,/docs/meta-aem-view-through-attribution-in-branch | /v1/docs/meta-aem-view-through-attribution-in-branch,
/account-hub/docs/link-folders,2,/docs/link-folders | /v1/docs/link-folders,
/account-hub/docs/kpi-alerts-for-analysis-dashboards,2,/docs/kpi-alerts-for-analysis-dashboards | /v1/docs/kpi-alerts-for-analysis-dashboards,
/account-hub/docs/currency-support-for-analysis-dashboards,2,/docs/currency-support-for-analysis-dashboards | /v1/docs/currency-support-for-analysis-dashboards,
/account-hub/docs/ai-optimization-aio,2,/docs/ai-optimization-aio | /v1/docs/ai-optimization-aio,
/account-hub/docs/add-multiple-custom-domains,2,/docs/add-multiple-custom-domains | /v1/docs/add-multiple-custom-domains,
/account-hub/docs/activation-basics-package,2,/docs/activation-basics-package | /v1/docs/activation-basics-package,
/developer-hub/docs/apple,2,/developer-hub/docs/supporting-skan-device-level-in-parallel | /partners-portal/docs/predictive-modeling-ad-network-click-spec,
/developer-hub/docs/adobe-journey-optimizer,2,/developer-hub/docs/adobe-journey-optimizer  [LIVE: in sitemap] | /developer-hub/docs/how-to-guides,
/marketer-hub/docs/ads-reporting,2,/docs/universal-ads-reporting | /marketer-hub/docs/universal-ads-reporting,
/marketer-hub/docs/analysis-new,2,/marketer-hub/docs/analysis-index | /marketer-hub/docs/analysis-new  [LIVE: in sitemap],
/developer-hub/docs/plugins-sdk-wrappers-index,2,/developer-hub/docs/plugins-overview | /developers-hub/docs/plugins-sdk-wrappers,
