source,flattened_destination,reason
/docs/partner-capabilities-update,/account-hub/docs/partner-capabilities-update,destination slug not found in new site
/docs/postback-webhook-ip-address-allowlist-expands,/account-hub/docs/postback-webhook-ip-address-allowlist-expands,destination slug not found in new site
/docs/quick-links,/docs/quick-links-index,destination slug not found in new site
/docs/scheduled-log-exports-gcp-storage-expansion,/account-hub/docs/scheduled-log-exports-gcp-storage-expansion,destination slug not found in new site
/docs/self-attributing-networks-sans,/marketer-hub/docs/self-attributing-networks-sans,destination slug not found in new site
/docs/self-serve-update,/account-hub/docs/self-serve-gating,destination slug not found in new site
/docs/summary-page-improvements,/account-hub/docs/improved-summary-page,destination slug not found in new site
/docs/supported-data-integration-partners,/marketer-hub/docs/supported-data-integration-partners,destination slug not found in new site
/docs/universal-ads-reporting,/marketer-hub/docs/ads-reporting,destination slug not found in new site
/docs/universal-email-integration-guide,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/docs/universal-email-lightweight-filters,/account-hub/docs/universal-email-lightweight-filters,destination slug not found in new site
/docs/update-in-cohort-analytics,/account-hub/docs/update-in-cohort-analytics,destination slug not found in new site
/docs/update-to-reporting-on-costspend-data,/account-hub/docs/update-to-reporting-on-costspend-data,destination slug not found in new site
/docs/update-to-short-link-expiration-window,/account-hub/docs/updated-short-link-expiration-window,destination slug not found in new site
/docs/upgraded-linking-experience,/account-hub/docs/upgraded-linking-experience,destination slug not found in new site
/docs/verify-links,/docs/verify-links-index,destination slug not found in new site
/docs/view-through-conversions-for-apple-search-ads,/account-hub/docs/view-through-conversions-from-apple-ads,destination slug not found in new site
/docs/view-through-conversions-from-apple-search-ads,/account-hub/docs/view-through-conversions-from-apple-ads,destination slug not found in new site
/docs/welcoming-roi-hub-to-ga,/account-hub/docs/welcoming-roi-hub-to-ga,destination slug not found in new site
/does-apples-new-policy-also-apply-to-idfvs,/complying-with-apples-policy-faq,destination slug not found in new site
/does-branchs-second-install-behavior-on-ios-require-an-sdk-update-or-will-all-the-logic-be-handled-server-side,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/does-the-branch-sdk-automatically-trigger-the-idfa-prompt,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/does-this-new-policy-block-deep-linking,/complying-with-apples-policy-faq,destination slug not found in new site
/emails/smartech,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/exports/query-api,/developer-hub/docs/query-api,destination slug not found in new site
/faq/docs/can-branch-track-impressions-on-desktop,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/faq/docs/can-i-track-user-data-location-through-branch,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/faq/docs/email-use-cases,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/faq/docs/how-can-i-request-a-new-universal-email-partner,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/faq/docs/how-can-i-send-additional-data-to-my-esp,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/faq/docs/how-do-i-pass-segment-anonymous-id-in-react-native-when-configuring-segment-export,/developer-hub/docs/segment-export,destination slug not found in new site
/faq/docs/how-does-limit-ad-tracking-impact-branch-attribution,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/faq/docs/test-the-branch-ios-android-web-sdk,/developer-hub/docs/test-the-ios-android-and-web-sdks,destination slug not found in new site
/faq/docs/universal-email-use-cases,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/faq/docs/what-do-the-email-validation-errorswarnings-mean-and-how-can-i-fix-them,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/faq/docs/what-do-the-universal-email-validation-errorswarnings-mean-and-how-can-i-fix-them,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/faq/docs/what-happens-if-i-sign-up-partway-through-the-month,/docs/how-billing-works#faq,destination slug not found in new site
/faq/docs/what-happens-if-my-credit-card-is-not-accepted-error-322,/docs/how-billing-works#faq,destination slug not found in new site
/faq/docs/what-payment-methods-are-accepted,/docs/how-billing-works#faq,destination slug not found in new site
/faq/docs/when-a-user-clicks-a-web-only-email-link-on-ios-and-they-get-directed-into-the-app-before-getting-kicked-out-to-web-does-branch-still-count-an-app-open,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/faq/docs/when-i-add-cname-all-my-links-redirect-to-httpsbranchio,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/faq/docs/when-will-i-be-billed,/docs/how-billing-works#faq,destination slug not found in new site
