Article title,Category title,Article status,Date,portal URLs,site URLs
Events API Overview,Events API,published,30 Apr 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/e6c23949-4a63-4696-a7b4-f604a0d3f6ba/en,https://help.branch.io/v1-api/docs/en/events-api,
Quick Links (Short Links) API Overview,Quick Links (Short Links) API,published,26 Mar 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/918bdd81-617e-4206-96ae-7fcba3073e78/en,https://help.branch.io/v1-api/docs/en/quick-links-api,
Scheduled Log Exports API Overview,Scheduled Log Exports API,published,27 Feb 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/b35abdd0-e1c5-4fd7-8824-ae65bdd258b2/en,https://help.branch.io/v1-api/docs/en/scheduled-log-exports-api,
Daily Exports API Overview,Daily Exports API,published,03 Feb 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/90da05c9-c757-4114-8fd0-13e0c8647a70/en,https://help.branch.io/v1-api/docs/en/daily-exports-api,
Cohort API Overview,Cohort API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/1a8dc6ba-e8d3-4468-98ac-3fd55692b4b2/en,https://help.branch.io/v1-api/docs/en/cohort-api,
Cross-Events Export API Overview,Cross-Events Export API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/c1403e8f-db95-4a10-864a-7eb204f07f24/en,https://help.branch.io/v1-api/docs/en/cross-events-export-api,
Query API Overview,Query API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/28d137e1-18be-49a4-9188-fd8aeaf30914/en,https://help.branch.io/v1-api/docs/en/query-api,
Aggregate API Overview,Aggregate API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/47b3db70-a4a4-45b1-bb1e-30b4cbf0ffec/en,https://help.branch.io/v1-api/docs/en/aggregate-api,
Attribution API Overview,Attribution API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/e88a66d9-d4db-44c8-87ea-3b311ebf7388/en,https://help.branch.io/v1-api/docs/en/attribution-api,
App API Overview,App API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/178f1eb4-d673-482d-a006-34fdebdc1038/en,https://help.branch.io/v1-api/docs/en/app-api,
Data Subject Request API Overview,Data Subject Request API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/c91793a1-9f38-4395-ab4a-384e94e04983/en,https://help.branch.io/v1-api/docs/en/data-subject-request-api-overview,
QR Code API Overview,QR Code API,published,29 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/8a3a2f00-7db3-4e1e-8dfb-2df5a1afcda3/en,https://help.branch.io/v1-api/docs/en/qr-code-api,
Desktop and Over the Top (OTT) Attribution,Attribution API,published,21 Jan 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/8bb88189-c710-4d8d-8870-2e2ef2d5e3b6/en,https://help.branch.io/v1-api/docs/en/desktop-over-the-top-ott-attribution,
Introduction,Quick Links (Short Links) API,draft,30 Dec 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/21cb0c1e-e7b1-443a-aa39-567944606d1c/en,,
Unified Analytics Export,Cross-Events Export API,published,20 Oct 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/71c82775-b7b2-46ea-a540-37fe0aefbb2f/en,https://help.branch.io/v1-api/docs/en/unified-analytics-export,
Introduction,Data Subject Request API,draft,09 Sep 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/15fcdd2b-f5e6-4790-8feb-c58fbeee961a/en,,
APIs Overview,Branch APIs,published,09 Sep 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/cd171d86-f637-482d-893e-ef642ab55a58/en,https://help.branch.io/v1-api/docs/en/apis-overview,
Query API Recipes,Query API,published,27 Aug 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/53cd3b7f-aafb-424f-9936-816b488fc435/en,https://help.branch.io/v1-api/docs/en/query-api-recipes,
Query API Recipes v2,Query API,draft,27 Aug 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/46f504b2-0d16-4b3a-b551-e97b161a05c1/en,,
Trying APIs,Branch APIs,published,31 Jul 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/85146d8c-ae3b-4927-9821-75e5c216a744/en,https://help.branch.io/v1-api/docs/en/trying-apis,
Scheduled Log Exports Cloud Setup,Scheduled Log Exports API,published,03 Jun 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/4d4a68cf-77f3-449a-b002-189e3157af27/en,https://help.branch.io/v1-api/docs/en/scheduled-log-exports-cloud-setup,
Hidden Metadata,Data Subject Request API,published,20 May 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/b2e6ecd5-2796-4cf2-9e70-e4482a6bad93/en,https://help.branch.io/v1-api/docs/en/hidden-metadata,
Clone - Short Linking API Overview,Archived,draft,20 May 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/a7b17a60-7746-46ef-a40a-bff6ca2b1ebd/en,,
Hidden Metadata,Scheduled Log Exports API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/6c08817a-0d49-4b45-9cd3-f5c5e18ba525/en,https://help.branch.io/v1-api/docs/en/scheduled-log-exports-api-hidden-metadata,
Hidden Metadata,Query API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/013869aa-669c-4b0b-ab3d-2982b4b1233e/en,https://help.branch.io/v1-api/docs/en/query-api-hidden-metadata,
